,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
1,Manila Cathedral,Manila,,0,4.4,Church,,,,,,,,,
3,Intramuros,Manila,,75,4.5,"Historical Architecture, Historical Site",,,,,,,,,
5,Fort Santiago,Manila,"Intramuros, Manila, 1002 Metro Manila",0,4.3,Historical Site,,,,,,,,,
8,Chinatown,Manila,"864 Masangkay St, Binondo, Manila, 1006 Metro Manila",0,4.2,Featured Neighborhood,,,,,,,,,
9,Coconut Palace,Manila,"Cultural Center of the Philippines Complex, Roxas Boulevard, Manila",0,4.3,Modern Architecture,,,,,,,,,
11,Manila Ocean Park,Manila,,0,4.4,Aquarium,,,,,,,,,
15,Manila Bay,Manila,,0,4.3,Seashore,,,,,,,,,
26,Roxas Boulevard,Manila,,0,4.1,Seashore,,,,,,,,,
35,San Agustin Church,Manila,"General Luna St, Manila, 1002 Metro Manila",0,4.5,"Church, UNESCO World Heritage-Cultural Site",,,,,,,,,
36,Chinese Cemetery,Manila,"Santa Cruz, Manila, Metro Manila",0,4.3,Cemetery,,,9am–3pm,9am–3pm,9am–3pm,9am–3pm,9am–3pm,9am–3pm,9am–3pm
37,Rizal Park,Manila,"Roxas Blvd, Malate, Manila, 1000 Metro Manila",0,4.2,City Park,,,5:45am–10:15pm,5am–9pm,5am–9pm,5am–9pm,5am–9pm,5am–9pm,5am–9pm
38,Cultural Center of the Philippines,Pasay,,0,4.2,"Theater, Library, Exhibition Hall, Cinema, Museum",,,,,,,,,
39,Binondo Church,Manila,"Plaza Lorenzo Ruiz Binondo, 1006 Metro Manila",0,4.3,Church,,,,,,,,,
42,Villa Escudero,Quezon City,"Tiaong, Quezon",0,4.5,Resort,,,,,,,,,
45,Mall of Asia Arena,Manila,"Mall of Asia Complex, J.W. Diokno Blvd, Pasay, 1300 Metro Manila",0,4.6,Stadium,,,,,,,,,
49,Quiapo Church,Manila,"363 Quezon Blvd, Quiapo, Manila, 1001 Metro Manila",0,4.3,Church,,,,,,,,,
50,Taal Volcano,Batangas City,"Talisay and San Nicolas, Batangas",0,4.5,Volcano,,,,,,,,,
51,University of Santo Tomas,Manila,,0,4.5,School,,,,,,,,,
52,Malacañan Palace,Manila,"Malacañan Palace, JP, Kalayaan Hall, 2/F Jose Laurel St, San Miguel, Manila, Metro Manila",0,4.2,Palace,,,Closed,8am–5pm,8am–5pm,8am–5pm,8am–5pm,8am–5pm,Closed
53,Santa Cruz Church,Manila,"Carriedo St, Binondo, Manila, 1008 Metro Manila",0,4.3,Church,,,,,,,,,
54,San Sebastian Church,Manila,"Pasaje del Carmen St, Quiapo, Manila, 1001 Metro Manila",0,4.4,Church,,,,,,,,,
