,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
55,Puerto Galera White Beach,Oriental Mindoro,,0,4.7,Beach,,,,,,,,,
60,Subic Bay,Subic,,0,4.4,"Strait/Fjord, Resort",,,,,,,,,
83,Robinsons Place Malolos,Bulacan,"Mac Arthur Highway, Sumapang Matanda Malolos City, Bulacan",0,4.5,"Market, Mall",,,,,,,,,
92,Robinsons Place Lipa,Lipa City,"JP Laurel, National Highway, Mataas na Lupa, Lipa City",0,4.5,"Market, Mall",,,,,,,,,
108,Robinsons Place Butuan,Butuan,"J.C.Aquino Avenue, Butuan City 8600",0,4.5,"Market, Mall",,,,,,,,,
109,Robinsons Place Tagum,Tagum,"National Highway,Tagum City",0,4.5,"Market, Mall",,,,,,,,,
110,Robinsons Place Gensan,General Santos,"J. Catolico Sr. Avenue, Lagao, General Santos City",0,4.5,"Market, Mall",,,,,,,,,
111,Robinsons Cagayan de Oro,Cagayan De Oro,"Rosario Crescent cor. Florentino Street, Limketkai Center, Cagayan de Oro City",0,4.5,"Market, Mall",,,,,,,,,
112,Robinsons Cybergate Davao,Davao City,"J.P. Laurel Avenue, Davao City",0,4.5,"Market, Mall",,,,,,,,,
114,Robinsons Place Iligan,Lanao Del Norte,"Macapagal Ave, Iligan City, Lanao del Norte",0,4.5,"Market, Mall",,,,,,,,,
120,Robinsons Place Valencia,Bukidnon,"Sayre Highway, Brgy. Hagkol, Bagontaas Valencia, Bukidnon",0,4.5,"Market, Mall",,,,,,,,,
132,Daraga Church,Albay,,0,4.6,Church,,,,,,,,,
144,Mayon Volcano,Albay,,0,4.7,Volcano,,,,,,,,,
156,Puerto Galera,Oriental Mindoro,,0,4.7,"Snorkeling/Diving, Port/Bay",,,,,,,,,
158,Eden Nature Park & Resort,Davao,,0,4.6,Park & Resort,,,,,,,,,
174,Philippine Eagle Centre,Davao,,0,4.5,Zoo,,,,,,,,,
175,Malagos Garden Resort,Davao,,0,4.7,Resort,,,,,,,,,
190,Echo Valley,Sagada,,0,5.0,Hiking,,,,,,,,,
191,Lumiang Cave,Sagada,,0,5.0,Cave,,,,,,,,,
202,The Hanging Coffins of Sagada,Sagada,,0,5.0,Cave,,,,,,,,,
237,Davao Crocodile Park,Davao,,0,4.7,Zoo,,,,,,,,,
244,Church of Paoay,Albay,,0,4.7,Church,,,,,,,,,
248,Talipanan Beach,Oriental Mindoro,,0,5.0,Beach,,,,,,,,,
438,San Isidro Labrador Church,Bulacan,"Brgy. Poblacion, Pulilan, Bulacan, Philippines",0,0.0,,,,,,,,,,
443,Subic Bay Yacht Club,Subic,"Blk.3 L.2 Waterfront Road Subic Bay Freeport Zone, Olongapo City, Philippines",0,0.0,,,,,,,,,,
449,Inasakan Beach,Mindoro,Ilin Island， San Jose， Mindoro， Philippines,0,0.0,Beach,,,,,,,,,
452,Barasoain Church,Bulacan,"Paseo del Congreso, Malolos, Luzon, Philippines",0,0.0,Church,,,,,,,,,
470,Tukuran Falls ,Mindoro,"Puerto Galera, Mindoro, Philippines",0,0.0,Waterfall,,,,,,,,,
479,Puregold Duty-Free,Subic,"1109 Palm Street Subic Bay Freeport Zone, Subic, Philippines",0,0.0,,,,,,,,,,
483,X-Treme Sports Philippines,Mindoro,"National Rd,Santo Nino, Holy Child School,Puerto Galera, Mindoro 5203,Philippines",0,0.0,,,,,,,,,,
499,Lipa Bus Stop,Lipa City,"Lipa City, Philippines",0,0.0,,,,,,,,,,
535,Aroma Beach,Mindoro,"San Jose, Mindoro,Philippines",0,0.0,Beach,,,,,,,,,
608,Casa de Segunda,Lipa City,"198 Rizal Street, Lipa City, Luzon 4217, Philippines",0,0.0,Exhibition Hall,,,,,,,,,
631,Masao Beach,Butuan,Barangay Masao near the Magellan Landing Statue， Butuan， Mindanao， Philippines,0,0.0,Beach,,,,,,,,,
634,Felcris Centrale,Davao,"Philippines,Davao City,Quimpo Boulevard,8000",0,0.0,Modern Architecture,,,,,,,,,
639,Pelaez Sports Center,Cagayan De Oro,"Velez St., Cagayan de Oro, Mindanao, Philippines",0,0.0,Stadium,,,,,,,,,
663,Metropolitan Cathedral of Immaculate Conception,Zamboanga,"La Purisima Street, Mindanao 7000, Philippines",0,0.0,Historial Site,,,,,,,,,
684,Bluroze Farms,Lipa City,"Lipa City, Luzon, Philippines",0,0.0,Zoo,,,,,,,,,
688,El Triunfo Beach,Misamis Oriental,"Oroquieta, Mindanao, Philippines",0,0.0,Outdoor Sports,,,,,,,,,
691,Rice Field,Davao Del Sur,"Santa Cruz, Philippines",0,0.0,Farm,,,,,,,,,
698,Limpapa Bridge,Zamboanga,"Zamboanga West Coastal Road, Zamboanga City, Mindanao 7000, Philippines",0,0.0,Bridge,,,,,,,,,
704,Gaisano Mall,Davao,"Pan-Philippine Highway, Davao City, Philippines",0,0.0,,,,,,,,,,
706,Tenusa Island,ARMM,"Sumisip, Philippines",0,0.0,,,,,,,,,,
714,Cagayan de Oro City Museum,Misamis Oriental,"in front of Gaston Park, Cagayan de Oro, Mindanao, Philippines",0,0.0,Exhibition Hall,,,,,,,,,
725,Enchanted River,Surigao,"Surigao City, Philippines",0,0.0,,,,,,,,,,
730,Plaza Heneral Santos,General Santos,"Fiscal Gregorio Daproza Avenue, General Santos, Mindanao, Philippines",0,0.0,,,,,,,,,,
738,X-Treme Sports Philippines,Puerto Galera,"National Rd | Santo Nino, Holy Child School, Puerto Galera, Mindoro 5203, Philippines",0,0.0,,,,,,,,,,
741,Beunavista Cave,Surigao,"Hikdop Island, Surigao City, Mindanao, Philippines",0,0.0,Cave,,,,,,,,,
742,CityMall Cinema,Cotabato,"Governor Gutierrez Street, Cotabato City, Mindanao 9600, Philippines",0,0.0,Cinema,,,,,,,,,
743,De Amore Massage and Spa,Davao Del Sur,"158 Bonifacio Street | Poblacion District, Davao City, Mindanao 8000, Philippines",0,0.0,,,,,,,,,,
746,Camp Sabros Zipline,Davao Del Sur,"Davao-Cotabato Rd, Digos City, Philippines",0,0.0,Campground,,,,,,,,,
753,Gaisano Mall of Gensan,General Santos,"General Santos City, Philippines",0,0.0,,,,,,,,,,
755,Majestic Volcano Atv Adventure,Albay,"Patio de Cagsawa Hotel and Resort | Busay Daraga, Daraga, Luzon, Philippines",0,0.0,Outdoor Sports,,,,,,,,,
758,Sto. Rosario Parish,Davao,"Davao City, Philippines",0,0.0,Church,,,,,,,,,
760,Sulu Ethnological Museum,ARMM,"Notre Dame College, Jolo, Philippines",0,0.0,Museum,,,,,,,,,
761,Cathedral Falls,Zamboanga Peninsula,"Xxxx, Kapatagan, Mindanao 9214, Philippines",0,0.0,Waterfall,,,,,,,,,
792,SM City Baliwag,Bulacan,"DRT Highway., Brgy. Pagalam Baliuag, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
797,SM City Marilao,Bulacan,"MacArthur Highway, Ibayo, Marilao, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
802,SM City Pulilan,Bulacan,"Pulilan Diversion Rd., Brgy. Sto. Cristo, Pulilan, Bulacan, Philippines",0,5.0,Mall,,,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM,10:00AM - 09:00PM
