,Unnamed: 0,name,location,address,type,rating
0,89,He Brews Cafe,Batangas,"43 P. Burgos St. | Earth St. Golden Country Homes Alangilan, Batangas City, Luzon 4200, Philippines",Cafe,5.0
31,397,The Macallan Whisky Bar,Parañaque,"1 ASEANA Ave. Entertainment City, Paranaque, Luzon 1701, Philippines","Bar, Pub",5.0
33,395,Lucky Noodles,Parañaque,"Aseana Avenue | Entertainment City, Paranaque, Luzon 1701, Philippines","Asian, Soups, Vegetarian Friendly",5.0
34,119,Finecut Butchery,Cabanatuan,"Maharlika Hi-way cor.Villa Benita Subd, Cabanatuan City, Luzon, Philippines",Steakhouse,5.0
35,88,BG Burgers,Batangas,"Batangas-Taysan Road | Kumintang, Batangas City, Luzon 4200, Philippines","American, Grill",5.0
36,242,Sadik Restaurant,Lucena,"Trinidad St. cor Granja St., Lucena City, Luzon, Philippines","Bar, Asian, Middle Eastern",5.0
37,243,Kimsuy Restaurant,Lucena,"Queen Margaret Hotel, Domoit Diversion Road, Lucena City, Luzon, Philippines","Chinese, Asian, Filipino",5.0
38,42,Craft 1945,Baguio,"8 Outlook Drive South, Baguio, Luzon 1103, Philippines","Brew Pub, Bar, Spanish",5.0
39,108,"Paleta Shabu-shabu, Pigar-Pigar and Steaks",Cabanatuan,"18th Street | Kaptain Pepe, Cabanatuan City, Luzon 3100, Philippines","Filipino, Asian",5.0
40,341,Liberty Sports Bar,Olongapo,"Alava Quay Waterfront road SBFZ | Opposite Global Port Building, Subic Bay Freeport Zone, Luzon 2222, Philippines","Pizza, American, Bar",5.0
42,463,Duck & Co.,San Fernando Pampanga,"Lazatin Boulevard | San Juan, San Fernando, Luzon 2000, Philippines","Filipino, Asian, Street Food",5.0
43,546,Kusina ni Pareng Avel,Tayabas,"Lucban-Tayabas Road, Tayabas City, Luzon, Philippines","Filipino, Asian",5.0
44,186,Cafe Alezon,Las Piñas,"146 Tropical Avenue | BF Homes, Las Pinas, Luzon 1740, Philippines","European, Contemporary",5.0
47,326,Eightynine Cafe Naga,Naga,"Roxas Avenue Diversion Road | M Plaza, Naga, Luzon 4400, Philippines","American, Filipino, Café",5.0
48,545,Bellepat,Tayabas,"Brgy. Wakas, Lita Subd., Luzon, Philippines",Café,5.0
49,8,Ace International Buffet,Antipolo,"United St. | Corner Brixton St., Pasig, Luzon 1603, Philippines","Filipino, International, Asian",5.0
50,448,Mu Tan Food Paradise,Puerto Princesa,"Manalo Street | Rodolfo Royale Hotel, Puerto Princesa, Palawan Island 5300, Philippines","Asian, Taiwanese, Chinese",5.0
51,285,Akrotiri Real Greek Restobar,Muntinlupa,"Commerce Avenue, Cor Filinvest Ave Commerce Avenue | Commercenter Alabang, Muntinlupa, Luzon 1780, Philippines","Mediterranean, Bar, European",5.0
53,33,Mang Kok's,Bacoor,"Buhay na Tubig | Unit H, C-BREED Arcade, Imus, Luzon 4103, Philippines","American, Filipino, Asian",5.0
54,13,Party Party Family KTV,Antipolo,"United Street | 6th Floor Ace Hotel And Suites, Pasig, Luzon 1603, Philippines","Bar, Pub, Vegan Options",5.0
57,18,Sky Garden Steak House,Antipolo,"8th Floor Ace Hotel & Suites | United Street corner Brixton Street, Kapitolyo, Pasig, Luzon 1603, Philippines","Steakhouse, Southwestern, Bar, International",5.0
58,536,The Borough Pizza Pub,Tarlac,"Bypass Road | San Vicente, Tarlac, Luzon 2300, Philippines","Pizza, Brew Pub, Bar",5.0
59,184,The Butcher & Sons Steakhouse,Las Piñas,"Daang Hari Road | Evia Lifestyle Center, Las Pinas, Luzon 4102, Philippines",Steakhouse,5.0
1,377,Finestra Italian Steakhouse,Parañaque,"1 Aseana Avenue | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Italian, Pizza, Vegetarian Friendly",5.0
32,91,Tropitalian Restaurant,Batangas,"Palico - Nasugbu Hwy | Tuy, Batangas City, Luzon 4214, Philippines","Italian, Filipino",5.0
52,12,Sky High Bar,Antipolo,"United Street Corner Brixton Street | Penthouse, 21st Floor Ace Hotel And Suites United Corner Brixton Street, Pasig, Luzon 1603, Philippines","Bar, Filipino, International",5.0
15,493,Nanay Cirilas Kapeng Barako,Tagaytay,"Mayor's Drive | Mendez Crossing East, Tagaytay, Luzon 4126, Philippines","Filipino, International, Asian",5.0
29,399,Eats,Puerto Princesa,"Rizal avenue extension | Across the street from Island Stay hotel in Dagomboy, Puerto Princesa, Palawan Island, Philippines"," Filipino, Asian, Vegetarian Friendly",5.0
2,386,The Cafe,Parañaque,"Entertainment City, Paranaque, Manila Belle Avenue | Hyatt Regency Manila, City of Dreams, Paranaque, Luzon 1701, Philippines","Chinese, Japanese, International",5.0
3,381,Red Lantern,Parañaque,"1 Aseana Avenue, Entertainment City | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Chinese, Asian, Vegetarian Friendly",5.0
4,380,Waterside Latin Inspired Cuisine,Parañaque,"1 Asean Avenue, Entertainment City | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines"," Latin, Bar, Vegetarian Friendly",5.0
5,379,Yakumi,Parañaque,"Aseana Avenue | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Japanese, Seafood, Asian",5.0
7,1,Bar One,Antipolo,"#1 ADB Avenue, Ortigas Center Pasig City, Philippines, Pasig, Luzon 1655, Philippines","Bar, Vegetarian Friendly, Gluten Free Options",5.0
8,378,Fresh International Buffet,Parañaque,"1 Aseana Avenue | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","International, Vegetarian Friendly, Vegan Options",5.0
9,435,The Smoky Place,Puerto Princesa," | Sabang Beach, Sabang, Puerto Princesa, Palawan Island 53000, Philippines"," Pizza, European, Vegetarian Friendly",5.0
10,422,NomNom Comfort Food,Puerto Princesa,"ARL Building 6, Baltan Street, Brgy. San Miguel, Puerto Princesa City, Puerto Princesa, Palawan Island 5300, Philippines","Cafe, Filipino, Fusion",5.0
11,533,Renyle Cuisine Fusion Restaurant,Tarlac,"RIC Building, Bypass Road, San Sebastian, Tarlac, Luzon 2300, Philippines","Filipino, Asian, Fusion",5.0
12,374,Eclipse,Parañaque,"1 Aseana Avenue | Entertainment City, Solaire Resort & Casino, Paranaque, Luzon 1701, Philippines","Bar, Pub, Vegetarian Friendly",5.0
13,437,Feisty Chef Resto,Puerto Princesa,"Manalo Extension | UN'R Building, Brgy. Bancao-Bancao, Puerto Princesa, Palawan Island 5300, Philippines"," Italian, International, Canadian",5.0
14,534,The Shed,Tarlac,"Getha Road | San Sebastian, Right Beside Holy Spirit, Tarlac, Luzon 2300, Philippines",Café,5.0
6,61,Bearsi Korean Pot Pasta & Chicken,Baguio,"#38 Military Cut-Off | Ground Floor, Marian Palazz Hotel, Baguio, Luzon 2600, Philippines","Italian, Asian, Korean",5.0
16,535,Cafe Isabela,Tarlac,"Tarlac, Luzon, Philippines","Filipino, Asian",5.0
28,96,Brewista Coffee & Hookah Lounge,Batangas,"Tabangao - Lobo Rd | QV Plaza, Pallocan West, Batangas City, Luzon 4200, Philippines","Italian, Filipino, Asian",5.0
17,438,Reef Hotdogs,Puerto Princesa,"Rizal Ave | Junction one, Puerto Princesa, Palawan Island 5300, Philippines","Fast Food, European, Grill",5.0
27,403,Majo-Imbiss,Puerto Princesa,"399 Rizal Avenue, Bancao-Bancao | Beside aztec, Puerto Princesa, Palawan Island 5300, Philippines","German, European, Central European",5.0
25,115,Edgardo's Café,Cabanatuan,"Brgy Sta. Arcadia Emilio Vergara Hiway Ayala Town Center, Cabanatuan City, Luzon 3100, Philippines","Cafe, Pizza, Fusion",5.0
24,218,Chachi's Kitchen,Legazpi,"8 Tandang Sora St. | Pinaric, Legazpi, Luzon, Philippines","Indian, Vegetarian Friendly, Vegan Options",5.0
26,504,Trifoglio Ristorante,Tagaytay,"Fora Mall, Tagaytay, Luzon, Philippines","Italian, Pizza, Mediterranean",5.0
22,412,Bersian Restaurant,Puerto Princesa,"A. S. Rengel Road | Stellar Grounds, Rizal Avenue corner A., Bancao-Bancao, Puerto Princesa, Palawan Island 5300, Philippines","Mediterranean, Middle Eastern, Lebanese",5.0
21,402,Wines Cold Cuts Restaurant,Puerto Princesa,"420, Rizal Avenue Extension, Bancao-Bancao, Puerto Princesa, Palawan Island 5300, Philippines","Spanish, International, Mediterranean",5.0
20,39,Tau Ceti Specialty Coffee,Baguio,"St.Jude Thaddeus bldg 101 Marcoville | Level 2, corner Old Forestry Compound Rd, Baguio, Luzon 2600, Philippines",Café,5.0
