,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
0,White Beach,Boracay,,0,4.7,"Seashore, Beach",,,,,,,,,
2,Puka Shell Beach,Boracay,,0,4.5,"Beach, Outdoor Sports",,,,,,,,,
4,Chocolate Hills,Bohol,,0,4.3,Mountain,,,,,,,,,
6,Marcelo Fernan Bridge,Cebu,Metro Cebu,0,5.0,Bridge,,,,,,,,,
7,Magellan's Cross,Cebu,,0,4.1,Historical Site,,,8am–9pm,Closed,8am–9pm,8am–9pm,8am–9pm,8am–9pm,8am–9pm
10,Mount Luho,Boracay,,0,4.4,Mountain,,,,,,,,,
12,Willy's Rock Formation,Boracay,,0,4.4,Rock Monument,,,,,,,,,
13,Philippine Tarsier Sanctuary,Bohol,"Tarsier Sunctuary Rd, Corella, Bohol",0,4.4,Zoo,,,9am–4pm,9am–4pm,9am–4pm,9am–4pm,9am–4pm,9am–4pm,9am–4pm
14,Fort San Pedro,Cebu City,"A. Pigafetta Street, Cebu City, 6000 Cebu",0,4.4,Castle,,,8am–7pm,8am–7pm,8am–7pm,8am–7pm,8am–7pm,8am–7pm,8am–7pm
16,Friday Beach,Boracay,,0,4.6,Beach,,,,,,,,,
17,Bat Caves,Boracay,,0,4.1,Cave,,,,,,,,,
18,Bohol Island,Bohol,,0,4.4,"Island/Peninsula, Snorkeling/Diving",,,,,,,,,
21,Taoist Temple Cebu,Cebu,,0,4.3,Taoist Temple,,,,,,,,,
22,Alona Beach,Bohol,,0,4.5,Beach,,,,,,,,,
23,Balicasag Reef,Bohol,Balicasag Island,0,4.7,"Island/Peninsula, Outdoor Sports, Hiking, Geological Site",,,,,,,,,
24,Panglao Island,Bohol,,0,4.5,"Island/Peninsula, Seashore",,,,,,,,,
25,Boracay's D'Mall,Boracay,,0,4.4,Featured Neighborhood,,,,,,,,,
27,Oslob Whale Shark Watching,Cebu,,0,4.7,Whale Watching,,,,,,,,,
28,Bulabog Beach,Boracay,,0,4.4,"Beach, Outdoor Sports",,,,,,,,,
29,Lapu-Lapu Monument,Cebu,,0,4.4,Statue/Sculpture,,,,,,,,,
30,Bee Farm,Bohol,,0,4.5,Farm,,,,,,,,,
31,Coron Island,Palawan,,0,4.7,Island/Peninsula,,,,,,,,,
32,Siquijor Island,Siquijor,,0,4.6,Island/Peninsula,,,,,,,,,
33,Diniwid Beach,Boracay,,0,4.5,Beach,,,,,,,,,
34,Crystal Cove Island,Boracay,,0,4.3,"Island/Peninsula, Boat Tour, Seashore",,,,,,,,,
40,Basilica Minore del Santo Nino,Cebu City,"Pilgrim’s Center, Osmeña Blvd, Cebu City, 6000 Cebu",0,4.4,"Church, Historical Architecture",,,,,,,,,
41,Ariel's Point,Aklan,"Batason, Buruanga, 5609 Aklan",0,4.3,Island/Peninsula,,,,,,,,,
43,Sumilon Island,Cebu,,0,4.5,Island/Peninsula,,,,,,,,,
44,Bohol Beach Club,Bohol,,0,4.5,Resort,,,,,,,,,
46,Caohagan Island,Cebu,,0,4.4,Island/Peninsula,,,,,,,,,
47,Loboc River,Bohol,,0,4.3,River,,,,,,,,,
48,Danao Beach,Bohol,"Barangay Danao, Panglao, Panglao Island, Bohol",0,4.1,"Beach, Seashore",,,,,,,,,
57,Puerto Princesa,Palawan,,0,4.3,Port/Bay,,,,,,,,,
58,Mactan,Cebu,,0,4.1,Island/Peninsula,,,,,,,,,
59,Crocodile Island,Boracay,,0,4.3,"Island/Peninsula, Snorkeling/Diving",,,,,,,,,
61,Malwawey Coral Garden,Palawan,,0,4.5,Snorkeling/Diving,,,,,,,,,
64,Kalanggaman Island,Cebu,,0,4.6,"Island/Peninsula, Seashore",,,,,,,,,
66,Baclayon Church,Bohol,,0,4.1,"Museum, Church",,,,,,,,,
67,Snake Island,Palawan,,0,4.4,Island/Peninsula,,,,,,,,,
69,Kayangan Lake,Coron,,0,4.5,Lake,,,,,,,,,
95,Robinsons Place Palawan,Puerto Princesa,"National Highway, Barangay. San Manuel, Puerto Princesa City, Palawan",0,4.5,"Market, Mall",,,,,,,,,
97,Robinsons Place Antique,San Jose de Buenavista,"National Highway, Brgy.San Angel, San Jose de Buenavista, Antique",0,4.5,"Market, Mall",,,,,,,,,
98,Robinsons Fuente,Cebu City,"Sta. Cruz, Fuente Osmeña Boulevard, Cebu City",0,4.5,"Market, Mall",,,,,,,,,
99,Robinsons Galleria Cebu,Cebu City,"General Maxilom Avenue cor. Sergio Osmena Blvd., Brgy Tejero, Cebu City",0,4.5,"Market, Mall",,,,,,,,,
100,Robinsons Place Bacolod,Bacolod,"Lacson Street,Mandalagan, Bacolod City",0,4.5,"Market, Mall",,,,,,,,,
101,Robinsons Place Dumaguete,Dumaguete City,"Dumaguete Business Park, Calindagan, Dumaguete City",0,4.5,"Market, Mall",,,,,,,,,
102,Robinsons Place Iloilo,Iloilo City,"Corner De Leon & Quezon Sts., Iloilo City",0,4.5,"Market, Mall",,,,,,,,,
103,Robinsons Place Roxas,Roxas,"Immaculate Heart of Mary Avenue, Pueblo de Panay, Brgy. Lawa-an, Roxas City",0,4.5,"Market, Mall",,,,,,,,,
104,Robinsons Place Tacloban,Tacloban City,"Tabuan National Highway, Marasbaras, Tacloban City",0,4.5,"Market, Mall",,,,,,,,,
105,Robinsons Place Jaro,Iloilo City,"E. Lopez St., Brgy. San Vicente, Jaro Iloilo City",0,4.5,"Market, Mall",,,,,,,,,
106,Robinsons Cybergate Bacolod,Bacolod,"Araneta St., Singcang, Bacolod City, Negros Occidental",0,4.5,"Market, Mall",,,,,,,,,
107,Robinsons Cybergate Cebu,Cebu City,"Don Gil Garcia Street, Capitol Site, Cebu City",0,4.5,"Market, Mall",,,,,,,,,
115,Robinsons Place Naga,Naga,"Roxas Avenue cor. Almeda Highway, Brgy. Triangulo, Naga City",0,4.5,"Market, Mall",,,,,,,,,
116,Robinsons Place Ormoc,Ormoc City,"Brgy. Cogon, Ormoc City, Leyte",0,4.5,"Market, Mall",,,,,,,,,
117,Robinsons North Tacloban,Tacloban City,"Tacloban City, Leyte",0,4.5,"Market, Mall",,,,,,,,,
122,Robinsons Place Bacolod,Bacolod,"Lacson Street,Mandalagan, Bacolod City",0,4.5,"Market, Mall",,,,,,,,,
123,Ilig Iligan Beach,Boracay,,0,4.3,"Island/Peninsula, Beach",,,,,,,,,
124,Pamalican Island,Palawan,,0,4.2,Island/Peninsula,,,,,,,,,
125,Moalboal Sardines Storm,Cebu,,0,4.7,Snorkeling/Diving,,,,,,,,,
127,Balinghai Beach,Boracay,,0,4.3,"Beach, Water Sports",,,,,,,,,
129,Cebu Metropolitan Cathedral,Cebu,,0,4.3,Church,,,,,,,,,
130,Malapascua Island,Cebu,,0,4.6,Island/Peninsula,,,,,,,,,
131,Secret Lagoon,Palawan,,0,4.5,"Snorkeling/Diving, Lake",,,,,,,,,
133,Sabang Beach,Palawan,,0,4.4,"Beach, Snorkeling/Diving",,,,,,,,,
134,Lusong Gunboat,Palawan,,0,4.7,Snorkeling/Diving,,,,,,,,,
135,Massage by Abe,Boracay,,0,4.6,Spa,,,,,,,,,
138,Charlh's Bar,Boracay,,0,4.6,Bar/Club,,,,,,,,,
140,Bohol Dolphin Discoveries,Bohol,,0,4.6,Dolphin Watching,,,,,,,,,
141,Twin Lagoon,Palawan,,0,4.4,"Snorkeling/Diving, Lake",,,,,,,,,
